Day,tAM,rhAM,cAM,wAM,tPM,rhPM,cPM,wPM,Rain,MSLP,tMin,tMax,dAM,dPM
1,15.6,50,0,4,19.6,43,0,9,0,1023.5,10.3,19.9,NNE,N
2,18.7,35,0,17,21.1,30,0,19,0,1015.8,15.1,21.2,NNE,N
3,19.1,52,0,17,13.7,100,0,4,0,1013,17.7,20.4,NNE,SSW
4,7.1,100,0,9,9,73,0,7,36,1017.8,6.9,11,SE,SSW
5,5.7,94,0,6,8.1,76,0,7,14.8,1021.6,4.6,10.3,SW,WSW
6,8.8,69,0,6,11.4,57,0,6,5.2,1030,5.1,12.1,S,SSW
7,7.7,100,0,6,10.1,91,0,6,0.4,1030.3,6.2,11.3,W,WSW
8,9,76,0,9,14.9,60,0,9,0,1026.9,6.1,15.4,NNW,NNW
9,11.9,64,0,9,18.4,41,0,13,0,1017.8,8.8,19.4,N,NW
10,9.2,75,0,2,12,52,0,6,0,1019.9,7.4,16.7,WSW,N
11,16.5,30,0,13,16.6,44,0,6,0,1004.5,8.7,17.2,N,WNW
12,8,68,0,6,10.3,54,0,4,0.2,1005.3,4.5,12.5,WNW,W
13,8.5,84,0,4,10.2,55,0,6,4.4,1020.4,3.3,11.5,SE,SSW
14,8.9,67,0,11,11.4,62,0,7,0.4,1025.2,3.5,12,ENE,SSE
15,8.1,66,0,15,10.6,60,0,9,0,1024.3,3.6,12,ESE,ESE
16,10.7,71,0,6,12.1,55,0,4,0,1021,3.3,13.3,E,NW
17,12.5,52,0,13,14.3,51,0,22,0,1009.7,7.2,16.1,N,NNE
18,9.3,63,0,7,10.3,67,0,7,2.2,1014.1,8.4,12.2,WNW,WNW
19,7.9,72,0,9,11.3,60,0,13,2.2,1013.5,4.2,11.9,NNW,N
20,7,74,0,7,6,82,0,6,13.2,1010.6,5.6,10.6,W,WSW
21,6.6,88,0,7,7.4,71,0,13,18.8,1025.3,1.3,10,WSW,WSW
22,8.1,100,0,2,11,89,0,6,4.2,1024.2,5.9,12.6,W,NW
23,10.6,97,0,9,14.6,64,0,11,0.2,1015.6,7.8,15.9,NW,NNW
24,11.9,62,0,11,11.7,62,0,6,0.2,1007.9,7.5,13.3,NW,WSW
25,6.1,80,0,4,8.6,55,0,9,6.6,1021.4,2.4,9.4,W,SW
26,7,68,0,15,11.4,59,0,9,2,1024.5,3,11.8,E,ESE
27,10,53,0,11,15.1,46,0,7,0,1019.3,5.3,15.4,NNW,NNW
28,13.3,45,0,4,17.3,40,0,4,0,1015.8,8.3,18.1,NNE,NNW
29,12.7,73,0,6,13.4,80,0,17,0,1012.3,11.4,16,E,E
30,13.9,87,0,2,12.2,100,0,2,8.8,1005.1,10.9,14.5,ENE,W
31,12.9,82,0,4,15.4,68,0,2,29,1003.8,10.8,17.1,N,E
32,11,100,0,6,12.5,94,0,2,14.6,1005,10.2,14.4,SW,S
33,12.5,100,0,4,17.4,64,0,7,0.2,1000.3,9.5,18.1,N,NNW
34,9.2,80,0,7,8,68,0,11,3.4,998.6,7.8,13.7,NNW,WNW
35,6.3,97,0,4,9.7,73,0,6,9,1010.5,5.8,12.7,W,W
36,9.8,73,0,6,16.8,48,0,9,0.4,1010.7,5.5,17.3,N,NNW
37,6.8,100,0,4,11.3,55,0,7,8.8,1013.4,6.2,11.9,WSW,W
38,10.1,69,0,6,15.4,52,0,9,0.2,1013.8,5.4,17,NNW,N
39,14.3,49,0,7,19.2,39,0,9,0,1010.1,9.5,20.7,N,NNW
40,8.3,80,0,6,9.7,57,0,7,3.8,1012.1,6.6,12.4,SE,SE
41,7.2,84,0,7,8.5,68,0,7,3,1018,3.2,11.1,E,ESE
42,10.7,61,0,7,15.3,40,0,4,0.4,1014.6,3.4,16.5,ENE,ENE
43,11.9,68,0,15,13.6,72,0,7,0,1008.1,9.2,17.3,NE,NNE
44,9.8,75,0,7,13.6,46,0,4,16.8,1003.8,4.7,15.7,NNE,NNW
45,7.3,100,0,4,8.8,88,0,7,4.8,1000.6,6,13.7,WNW,WSW
46,7.7,100,0,11,8.8,98,0,9,63.8,1009.7,7,9.6,W,WSW
47,7.5,99,0,2,12.6,63,0,4,2,1013.1,6.2,14.9,NW,NW
48,12.4,63,0,4,13.3,70,0,6,0.2,1013.3,7.4,15.1,NNW,WSW
49,7.5,100,0,4,11.2,87,0,7,4,1021.5,6.2,13.5,ESE,SE
50,12.2,73,0,11,19.5,52,0,6,0.4,1018.1,7.3,20.4,E,ESE
51,15.9,59,0,7,20.3,48,0,9,0,1014.8,12,21,NNE,NNE
52,17.1,63,0,6,22,49,0,6,0,1013.5,13.5,23.1,N,NNW
53,10.5,100,0,4,10.9,93,0,6,10.2,1015.4,10,11.4,SSW,W
54,9,76,0,7,9.5,70,0,7,3.6,1021.2,6,11.7,SW,SW
55,8.1,73,0,7,10.7,62,0,6,1.4,1019.8,5,12.1,SW,W
56,9.1,84,0,7,16.4,48,0,7,0.2,1018,4.5,18.3,ENE,NW
57,15.8,51,0,9,21.1,35,0,7,0,1013.9,8.7,21.9,NNE,N
