Site,Lithology,surveyYear,Elevation,Slope,Aspect,Protection,sevObserved,dNBR91,dNBR03,dNBR06,dNBR07,lastFire91,lastFire03,lastFire06,lastFire07,lastFire13
1,IG,2009,1218,11,143,27,,59,0,118,-45,1979,1979,1979,1979,1979
2,GN,2009,1168,13,250,19,2,211,0,50,-6,1985,1985,1985,1985,1985
3,BA,2008,1060,26,4,32,,68,0,42,12,1981,1981,1981,1981,1981
4,GD,2009,1189,8,48,28,2,123,0,54,-178,1979,1979,1979,1979,1979
5,GN,2009,1217,5,90,8,1,230,0,2,-109,1980,1980,1980,1980,1980
6,IG,2009,1201,27,84,56,1,127,0,88,-99,1979,1979,1979,1979,1979
7,IG,2009,1029,24,100,26,2,131,0,96,-48,1979,1979,1979,1979,1979
8,BA,2008,1054,29,345,40,,113,0,69,-33,1981,1981,1981,1981,1981
9,GN,2009,1205,11,148,16,2,139,0,53,34,1985,1985,1985,1985,1985
10,GN,2009,1105,19,157,23,1,95,0,133,-114,1979,1979,1979,1979,1979
11,SD,2009,1090,29,356,66,2,-383,20,79,-137,1981,1981,2003,2003,2003
12,GN,2008,1085,21,231,36,3,-283,40,0,-4,1952,1952,2003,2003,2003
13,SD,2010,1250,13,244,12,3,120,10,17,53,1964,1964,2003,2003,2003
14,SD,2008,1089,12,294,35,3,-587,20,-59,61,1972,1972,2003,2003,2003
15,GD,2009,1176,14,43,22,3,52,50,38,-56,1972,1972,2003,2003,2003
16,GD,2009,1336,6,229,8,3,-12,30,-33,-229,1972,1972,2003,2003,2003
17,GD,2009,1426,4,298,7,3,135,30,-93,-57,1981,1981,2003,2003,2003
18,GD,2008,1318,6,66,13,3,187,1,-40,-19,1939,1939,2003,2003,2003
19,AD,2008,1367,16,1,22,3,105,30,57,-68,1952,1952,2003,2003,2003
20,AD,2008,1379,8,147,13,3,106,30,77,-158,1952,1952,2003,2003,2003
21,AD,2008,1420,17,134,34,1,-312,10,113,-102,1972,1972,2003,2003,2003
22,GD,2008,1289,8,340,12,1,164,20,230,-46,1952,1952,2003,2003,2003
23,IG,2009,1283,15,77,28,2,250,20,8,-58,1988,1988,2003,2003,2003
24,IG,2008,1304,13,264,25,2,120,0,32,219,1939,1939,1939,1939,2007
25,BA,2008,1378,13,270,22,1,200,10,40,-35,1980,1980,2003,2003,2003
26,BA,2008,1485,14,175,21,3,121,40,15,-148,1985,1985,2003,2003,2003
27,GD,2008,1457,23,8,32,3,-193,40,-41,208,1952,1952,2003,2003,2003
28,GD,2008,1280,20,82,27,3,147,30,12,-4,1952,1952,2003,2003,2003
29,BA,2008,1350,18,201,39,1,-799,20,288,-251,1952,1952,2003,2003,2003
