SiteNumber,ReplicateNumber,Stratum,LowerHeight,ModeHeight,UpperHeight,PercentCover
ALPASH01,1,L1,0.01,,1,75
ALPASH01,1,M1,4,,10,10
ALPASH01,1,M2,0.5,,3,25
ALPASH01,1,T,25,,30,30
ALPASH02,1,L1,0.01,,0.5,10
ALPASH02,1,M1,4,,8,5
ALPASH02,1,M2,0.3,,2.5,50
ALPASH02,1,T,20,,30,50
ALPASH03,1,L1,0.01,,1.1,90
ALPASH03,1,M1,16,,17,30
ALPASH03,1,M2,1,,3,10
ALPASH03,1,T,18,,30,20
ALPASH04,1,L1,0.01,,0.5,10
ALPASH04,1,M1,15,,20,5
ALPASH04,1,M2,0.5,,2,25
ALPASH04,1,T,30,,35,25
ALPASH05,1,L1,0.01,,1,80
ALPASH05,1,M1,2,,5,3
ALPASH05,1,M2,0.5,,2,50
ALPASH05,1,T,20,,30,40
ALPASH06,1,L1,0.3,,1,95
ALPASH06,1,M1,10,,15,10
ALPASH06,1,M2,1,,4,10
ALPASH06,1,T,30,,35,10
ALPASH07,1,L1,0.01,,1,15
ALPASH07,1,M1,10,,25,5
ALPASH07,1,M2,0.5,,3,70
ALPASH07,1,T,30,,35,20
ALPASH08,1,L1,0.01,,1.5,90
ALPASH08,1,M1,1,,3.5,25
ALPASH08,1,T,25,,28,30
ALPASH09,1,L1,0.1,,1,30
ALPASH09,1,M1,0.5,,3,40
ALPASH09,1,T,20,,30,50
ALPASH10,1,L1,0.01,,1.2,40
ALPASH10,1,M1,3,,7,5
ALPASH10,1,M2,0.5,,3,60
ALPASH10,1,T,25,,35,50
ALPASH11,1,L1,0.3,,1,15
ALPASH11,1,M1,0.5,,3,80
ALPASH11,1,T,5,,,1
ALPASH12,1,L1,0.01,,0.02,10
ALPASH12,1,M1,1,,5,90
ALPASH12,1,T,40,,,5
ALPASH13,1,L,0.01,,0.5,5
ALPASH13,1,T,1,,3,90
ALPASH14,1,L1,0.01,,0.5,10
ALPASH14,1,M1,1,,3,70
ALPASH14,1,T,6,,8,2
ALPASH15,1,L1,0.3,,1,40
ALPASH15,1,M1,1.5,,4,90
ALPASH15,1,T,30,,,4
ALPASH16,1,L1,0.01,,0.4,50
ALPASH16,1,M1,1,,4,70
ALPASH16,1,T,30,,,1
ALPASH17,1,L1,0.01,,0.6,80
ALPASH17,1,M1,1,,4,40
ALPASH17,1,M2,0.2,,1,30
ALPASH17,1,T,30,,35,1
ALPASH18,1,L1,0.01,,0.4,70
ALPASH18,1,M1,1.5,,4,55
ALPASH18,1,M2,0.3,,1,30
ALPASH19,1,L1,0.1,,0.4,70
ALPASH19,1,M1,1,,4,70
ALPASH19,1,T,13,,14,5
ALPASH20,1,L1,0.01,,1,40
ALPASH20,1,M1,1.2,,4,80
ALPASH20,1,T,8,,,1
ALPASH21,1,L1,0.01,,1,70
ALPASH21,1,T,20,,30,25
ALPASH22,1,L1,0.01,,0.4,75
ALPASH22,1,M1,1.5,,4,5
ALPASH22,1,T,25,,35,30
ALPASH23,1,L1,0.01,,,40
ALPASH23,1,M1,5,,15,10
ALPASH23,1,M2,1,,3,80
ALPASH23,1,T,30,,35,20
ALPASH24,1,L1,0.01,,1.2,80
ALPASH24,1,M1,0.3,,1,5
ALPASH25,1,L1,0.01,,0.4,90
ALPASH25,1,M1,0.3,,2,10
ALPASH25,1,T,28,,32,25
ALPASH26,1,L1,0.01,,1,70
ALPASH26,1,T,1,,3,10
ALPASH27,1,L1,0.01,,0.6,50
ALPASH27,1,T,1,,2,50
ALPASH28,1,L1,0.1,,1,80
ALPASH28,1,T,1,,3,80
ALPASH29,1,L1,0.01,,1,70
ALPASH29,1,M1,1,,3,20
ALPASH29,1,T,30,,33,30
ALPASH30,1,L1,0.01,,0.6,60
ALPASH30,1,M1,10,,10,1
ALPASH30,1,M2,0.5,,4,90
ALPASH30,1,T,20,,25,1
ALPASH31,1,L1,0.01,,0.3,20
ALPASH31,1,M1,1,,2,70
ALPASH31,1,T,27,,30,20
ALPASH32,1,L1,0.01,,1,30
ALPASH32,1,M1,1,,3,50
ALPASH32,1,T,16,,40,25
ALPASH33,1,L1,0.01,,0.5,25
ALPASH33,1,M1,12,,15,10
ALPASH33,1,M2,0.5,,5,40
ALPASH33,1,T,28,,30,5
ALPASH34,1,L1,0.01,,0.5,80
ALPASH34,1,M1,10,,15,2
ALPASH34,1,M2,1,,2.5,80
ALPASH34,1,T,30,,35,25
ALPASH35,1,L1,0.01,,1,70
ALPASH35,1,M1,10,,15,3
ALPASH35,1,M2,0.5,,1.5,40
ALPASH35,1,T,20,,30,50
ALPASH36,1,L1,0.01,,0.3,70
ALPASH36,1,M1,12,,,1
ALPASH36,1,M2,1,,2,50
ALPASH37,1,L1,0.01,,1,70
ALPASH37,1,T,1,,4,40
ALPASH38,1,L1,0.01,,0.4,4
ALPASH38,1,M1,1,,2.5,70
ALPASH38,1,T,2,,3,40
ALPASH39,1,L1,0.01,,0.4,30
ALPASH39,1,M1,2,,3.5,5
ALPASH39,1,M2,1,,2,90
ALPASH39,1,T,30,,35,1
ALPASH40,1,L1,0.01,,0.3,5
ALPASH40,1,M1,15,,,10
ALPASH40,1,M2,1,,2,70
ALPASH40,1,T,25,,30,25
ALPASH41,1,L1,0.01,,1,40
ALPASH41,1,M1,12,,16,5
ALPASH41,1,M2,1,,2,70
ALPASH41,1,T,26,,27,10
ALPASH42,1,L1,0.01,,0.3,30
ALPASH42,1,M1,1,,3.5,70
ALPASH42,1,T,20,,23,5
ALPASH43,1,L1,0.01,,0.6,40
ALPASH43,1,M1,8,,12,10
ALPASH43,1,M2,1,,4,60
ALPASH43,1,T,30,,,20
ALPASH44,1,L1,0.1,,1,90
ALPASH44,1,M1,1,,2,30
ALPASH44,1,T,30,,35,20
ALPASH45,1,M1,1.5,,2.5,70
ALPASH45,1,T,18,,24,20
ALPASH46,1,L1,0.01,,0.3,80
ALPASH46,1,M1,1,,3,70
ALPASH46,1,T,30,,40,1
ALPASH47,1,L1,0.01,,1,80
ALPASH47,1,M1,0.5,,1.2,50
ALPASH47,1,T,20,,25,20
ALPASH48,1,L1,0.01,,0.6,80
ALPASH48,1,M1,1,,2.5,10
ALPASH48,1,T,12,,15,10
ALPASH49,1,L1,0.01,,0.8,25
ALPASH49,1,M1,1,,1.5,75
ALPASH49,1,T,20,,26,20
ALPASH50,1,L1,0.01,,0.5,40
ALPASH50,1,M1,1,,2,90
ALPASH50,1,T,12,,25,20
ALPASH51,1,L,0.01,,0.3,20
ALPASH51,1,M1,5,,8,5
ALPASH51,1,M2,0.5,,2,20
ALPASH51,1,T,30,,35,30
ALPASH52,1,L1,0.01,,0.3,20
ALPASH52,1,M1,4,,6,3
ALPASH52,1,M2,1,,3,80
ALPASH52,1,T,30,,35,40
ALPASH53,1,L1,0.01,,1,90
ALPASH53,1,M1,10,,15,10
ALPASH53,1,M2,5,,8,10
ALPASH53,1,M3,1,,3,30
ALPASH53,1,T,25,,30,30
ALPASH54,1,L1,0.01,,1,90
ALPASH54,1,M1,3,,8,5
ALPASH54,1,M2,1,,2.5,60
ALPASH54,1,T,25,,35,40
ALPASH55,1,L1,0.01,,0.5,60
ALPASH55,1,M1,4,,6,5
ALPASH55,1,M2,1,,3,60
ALPASH55,1,T,30,,35,40
ALPASH56,1,L1,0.01,,0.3,50
ALPASH56,1,M1,15,,,5
ALPASH56,1,M2,0.5,,3,70
ALPASH56,1,T,30,,35,60
ALPASH57,1,L1,0.2,,0.6,95
ALPASH57,1,M1,12,,14,2
ALPASH57,1,M2,0.5,,2,20
ALPASH57,1,T,30,,35,60
ALPASH58,1,L1,0.01,,0.5,95
ALPASH58,1,M1,15,,20,20
ALPASH58,1,M2,0.5,,2.5,30
ALPASH58,1,T,25,,,2
ALPASH59,1,L1,0.01,,0.7,90
ALPASH59,1,M1,4,,8,5
ALPASH59,1,M2,1,,3,40
ALPASH59,1,T,25,,30,20
ALPASH60,1,L1,0.01,,0.7,70
ALPASH60,1,M1,4,,6,4
ALPASH60,1,M2,1,,1.5,70
ALPASH60,1,T,20,,35,40
ALPASH61,1,L1,0.01,,1,60
ALPASH61,1,M1,0.5,,1.5,5
ALPASH61,1,T,20,,28,5
ALPASH62,1,L1,0.01,,0.4,90
ALPASH62,1,M1,20,,,3
ALPASH62,1,M2,0.5,,2,55
ALPASH62,1,T,30,,35,50
ALPASH63,1,L1,0.01,,0.3,90
ALPASH63,1,M,0.3,,1.5,60
ALPASH64,1,L,0.01,,0.4,70
ALPASH64,1,M1,0.2,,1.5,70
ALPASH65,1,L1,0.01,,0.3,75
ALPASH65,1,M1,0.3,,1,35
ALPASH65,1,T,30,,40,20
ALPASH66,1,L,0.01,,0.5,80
ALPASH66,1,M,1,,3,50
ALPASH66,1,T,4,,5,60
ALPASH67,1,L,0.01,,0.3,50
ALPASH67,1,M,0.2,,1,20
ALPASH67,1,T,18,,24,30
ALPASH68,1,L,0.01,,0.3,70
ALPASH68,1,M,0.5,,2.5,50
ALPASH68,1,T,2,,7,60
ALPASH69,1,L,0.01,,0.6,80
ALPASH69,1,M,0.5,,2,40
ALPASH69,1,T,4,,,2
ALPASH70,1,L,0.01,,0.6,30
ALPASH70,1,M1,8,,12,2
ALPASH70,1,M2,0.3,,2,50
ALPASH70,1,T,30,,35,30
ALPASH71,1,L,0.01,,0.05,70
ALPASH71,1,M1,1,,4,50
ALPASH71,1,T,4,,8,1
ALPASH72,1,L,0.01,,0.3,25
ALPASH72,1,M1,1,,2.5,80
ALPASH72,1,T,3,,6,40
ALPASH73,1,L1,0.01,,0.3,5
ALPASH73,1,M1,0.3,,1.5,60
ALPASH73,1,T,25,,30,25
ALPASH74,1,L1,0.01,,1,80
ALPASH74,1,M1,1,,2.5,60
ALPASH74,1,T,30,,40,25
ALPASH75,1,L,0.01,,0.3,70
ALPASH75,1,M1,1.5,,2.5,50
ALPASH75,1,M2,0.5,,1,20
ALPASH75,1,T,35,,35,30
alpash76,1,L,0.01,,0.5,50
alpash76,1,M1,1,,4,1
alpash76,1,M2,0.3,,1.5,50
alpash76,1,T1,20,,30,20
ALPASH77,1,L1,0.01,,0.4,70
ALPASH77,1,M1,2,,4,5
ALPASH77,1,M2,1,,2,50
ALPASH77,1,T1,3,,10,40
ALPASH78,1,L1,0.01,,0.4,20
ALPASH78,1,M1,2,,4,10
